slide_id,resolution,process,status,seg_level,sthresh,mthresh,close,use_otsu,a_t,a_h,max_n_holes,vis_level,line_thickness,use_padding,contour_fn,black_thresh,clip_min,clip_max,bag_size
02430-A,3.98,0,proccessed,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,0.0
03343-A,3.98,0,proccessed,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,0.0
04637-A,4.0,0,proccessed,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,0.0
07895-A,3.98,0,proccessed,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,0.0
10651-A,3.98,0,proccessed,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,0.0
11854-A,4.0,0,proccessed,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,0.0
12318-A,3.98,0,proccessed,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,0.0
12987-A,4.0,0,proccessed,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,0.0
14173-A,3.98,0,proccessed,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,0.0
14552-A,3.98,0,proccessed,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,0.0
14821-A,3.98,0,proccessed,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,0.0
15599-A,3.98,0,proccessed,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,0.0
15674-A,3.99,0,proccessed,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,0.0
16484-A,3.98,0,proccessed,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,0.0
17060-A,3.98,0,proccessed,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,0.0
17282-A,3.98,0,proccessed,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,0.0
18780-A,3.98,0,proccessed,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,0.0
21560-A,3.98,0,proccessed,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,0.0
22702-A,3.98,0,proccessed,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,0.0
22803-A,3.98,0,proccessed,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,0.0
23075-A,4.0,0,proccessed,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,0.0
23322-A,3.98,0,proccessed,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,0.0
25366-A,3.98,0,proccessed,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,0.0
25660-A,4.01,0,proccessed,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,0.0
25770-A,3.98,0,proccessed,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,0.0
31263-A,3.98,0,proccessed,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,0.0
32607-A,3.98,0,proccessed,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,0.0
34311-A,3.98,0,proccessed,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,0.0
35039-A,4.0,0,proccessed,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,0.0
35071-A,3.98,0,proccessed,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,0.0
35357-A,3.98,0,proccessed,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,0.0
35881-A,3.98,0,proccessed,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,0.0
36337-A,3.98,0,proccessed,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,0.0
36926-A,3.98,0,proccessed,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,0.0
37193-A,3.98,0,proccessed,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,0.0
38914-A,3.98,0,proccessed,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,0.0
39084-A,4.0,0,proccessed,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,0.0
39558-A,4.0,1,processed,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,0.0
39749-A,3.98,1,proccessed,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,0.0
40189-A,3.98,1,proccessed,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,0.0
41775-A,3.98,1,proccessed,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,0.0
44007-A,3.98,1,proccessed,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,0.0
44530-A,3.98,1,proccessed,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,0.0
45198-A,3.98,1,proccessed,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,0.0
45814-A,3.98,1,proccessed,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,0.0
46109-A,3.98,1,proccessed,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,0.0
47152-A,3.98,1,proccessed,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,0.0
48214-A,3.98,1,proccessed,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,0.0
48365-A,4.0,1,tbp,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,
48653-A,3.98,1,tbp,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,
52153-A,3.98,1,tbp,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,
53852-A,3.98,1,tbp,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,
54273-A,3.98,1,tbp,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,
54918-A,3.98,1,tbp,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,
55133-A,3.98,1,tbp,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,
55714-A,4.0,1,tbp,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,
57045-A,3.98,1,tbp,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,
61812-A,3.98,1,tbp,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,
62401-A,3.98,1,tbp,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,
63221-A,3.98,1,tbp,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,
63921-A,3.98,1,tbp,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,
66337-A,3.98,1,tbp,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,
67480-A,3.98,1,tbp,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,
68259-A,3.98,1,tbp,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,
